Country,Clicks,Impressions,CTR,Position
United States,46,5210,0.88%,22.54
Australia,1,54,1.85%,60.63
Japan,1,52,1.92%,65.35
Bangladesh,1,34,2.94%,44.35
Pakistan,1,25,4%,47.96
Brazil,0,655,0%,61.34
South Korea,0,346,0%,70.58
Vietnam,0,259,0%,68.24
Russia,0,243,0%,69.52
United Kingdom,0,227,0%,61.66
India,0,209,0%,61.1
Germany,0,91,0%,62.91
France,0,75,0%,60.35
Italy,0,63,0%,63.25
Argentina,0,63,0%,66.48
Canada,0,62,0%,53.48
Indonesia,0,56,0%,53.07
Mexico,0,53,0%,51.42
Malaysia,0,52,0%,66.4
Philippines,0,48,0%,54.71
Ecuador,0,44,0%,62.64
Egypt,0,42,0%,64.07
Spain,0,41,0%,58.05
Taiwan,0,36,0%,71.42
Turkey,0,35,0%,55.6
Colombia,0,32,0%,57.41
Singapore,0,32,0%,58.22
Netherlands,0,28,0%,59.68
South Africa,0,26,0%,66.35
Ukraine,0,25,0%,66.72
Poland,0,24,0%,71.04
Saudi Arabia,0,22,0%,50.86
Venezuela,0,20,0%,57.2
Morocco,0,18,0%,56.89
Hong Kong,0,18,0%,65.61
Sweden,0,17,0%,58.12
Iran,0,16,0%,53.5
Paraguay,0,16,0%,59.12
Iraq,0,16,0%,59.31
Lithuania,0,16,0%,77.19
Peru,0,15,0%,48.4
Thailand,0,15,0%,74.07
Tunisia,0,14,0%,67.93
Unknown Region,0,13,0%,63.54
Bulgaria,0,12,0%,71.67
Finland,0,12,0%,74.92
Israel,0,11,0%,53.82
Algeria,0,11,0%,62
Hungary,0,10,0%,53.2
Trinidad & Tobago,0,10,0%,65.8
Uzbekistan,0,10,0%,70.8
Dominican Republic,0,9,0%,36.33
Chile,0,8,0%,43.62
Macedonia,0,8,0%,47.25
Switzerland,0,8,0%,55.5
Romania,0,8,0%,69.75
Serbia,0,7,0%,38.71
Bahrain,0,7,0%,39
Belgium,0,7,0%,42.86
Ireland,0,7,0%,67.14
Jordan,0,6,0%,54.17
Cyprus,0,6,0%,67.17
Bolivia,0,5,0%,21.4
United Arab Emirates,0,5,0%,38.6
Uruguay,0,5,0%,56.2
Kenya,0,5,0%,56.8
Greece,0,5,0%,63.6
Kazakhstan,0,5,0%,65.4
Austria,0,5,0%,72
Bosnia & Herzegovina,0,5,0%,73.4
Nigeria,0,4,0%,26.25
Ghana,0,4,0%,28
Jamaica,0,4,0%,30.25
Slovakia,0,4,0%,37
Portugal,0,4,0%,44
Denmark,0,4,0%,50.5
Norway,0,4,0%,66.75
Zambia,0,4,0%,70.5
Croatia,0,4,0%,76
El Salvador,0,3,0%,38
Oman,0,3,0%,40.33
Georgia,0,3,0%,52.67
Panama,0,3,0%,53.67
Albania,0,3,0%,57
Kuwait,0,3,0%,57.67
Czechia,0,3,0%,59
Nepal,0,3,0%,73.67
China,0,3,0%,81.33
Rwanda,0,2,0%,1.5
Tanzania,0,2,0%,3.5
Yemen,0,2,0%,6
Ethiopia,0,2,0%,23.5
Armenia,0,2,0%,25
Angola,0,2,0%,30
Honduras,0,2,0%,42.5
Guatemala,0,2,0%,43
Costa Rica,0,2,0%,50.5
New Zealand,0,2,0%,51
Benin,0,2,0%,53.5
Kyrgyzstan,0,2,0%,61.5
Lebanon,0,2,0%,62
Senegal,0,2,0%,62.5
Barbados,0,2,0%,63
Sri Lanka,0,2,0%,66
Cape Verde,0,2,0%,73.5
Estonia,0,2,0%,75.5
Moldova,0,2,0%,79
Azerbaijan,0,2,0%,81.5
Laos,0,1,0%,3
St. Lucia,0,1,0%,3
Congo - Brazzaville,0,1,0%,5
Myanmar (Burma),0,1,0%,7
Liberia,0,1,0%,8
Gabon,0,1,0%,10
Puerto Rico,0,1,0%,26
Cayman Islands,0,1,0%,45
Bermuda,0,1,0%,58
Guyana,0,1,0%,58
New Caledonia,0,1,0%,64
Bahamas,0,1,0%,65
Belarus,0,1,0%,72
Grenada,0,1,0%,73
Palestine,0,1,0%,73
Qatar,0,1,0%,73
Latvia,0,1,0%,76
Curaçao,0,1,0%,87
Iceland,0,1,0%,92
Cambodia,0,1,0%,98
Turks & Caicos Islands,0,1,0%,100
